"train_acc","val_acc"
"0.8706","0.867"
"0.87618","0.8678"
"0.8783","0.8714"
"0.88198","0.8748"
"0.88622","0.8788"
"0.88938","0.8846"
"0.89298","0.8894"
"0.89648","0.8934"
"0.89992","0.8964"
"0.90248","0.9004"
"0.90556","0.9032"
"0.90812","0.9042"
"0.91024","0.9068"
"0.91172","0.9082"
"0.91322","0.9106"
"0.91444","0.9118"
"0.91508","0.9124"
"0.9163","0.9124"
"0.9169","0.913"
"0.91682","0.914"
"0.91752","0.9144"
"0.91752","0.914"
"0.91766","0.9124"
"0.91718","0.913"
"0.91718","0.9136"
"0.91714","0.913"
"0.9165","0.9126"
"0.9163","0.9136"
"0.91586","0.912"
"0.9151","0.9116"
"0.9143","0.909"
"0.91304","0.908"
"0.91228","0.905"
"0.91114","0.9064"
"0.90992","0.9054"
"0.90882","0.9036"
"0.90764","0.9024"
"0.90676","0.9002"
"0.9051","0.9002"
"0.9038","0.8994"
"0.90192","0.8978"
"0.9011","0.8966"
"0.8992","0.8938"
"0.89748","0.8918"
"0.89544","0.89"
"0.89336","0.888"
"0.89174","0.886"
"0.8902","0.884"
"0.88836","0.8828"
"0.8862","0.8826"
"0.88426","0.8798"
"0.88184","0.8752"
"0.87986","0.8716"
"0.87722","0.8696"
"0.87516","0.8676"
"0.87264","0.8672"
"0.86874","0.8632"
"0.86676","0.8604"
"0.86384","0.857"
"0.86086","0.8532"
"0.85924","0.851"
"0.85566","0.8476"
"0.85178","0.8448"
"0.84968","0.8398"
"0.84606","0.8352"
"0.84282","0.8332"
"0.83998","0.8302"
"0.83688","0.8308"
"0.833","0.8288"
"0.8293","0.8202"
"0.82694","0.815"
"0.82304","0.8126"
"0.81916","0.8106"
"0.81536","0.8064"
"0.81244","0.8024"
"0.80758","0.8002"
"0.80622","0.797"
"0.80232","0.7954"
"0.79756","0.7856"
"0.79542","0.7826"
"0.79142","0.7744"
"0.78694","0.7764"
"0.78238","0.7722"
"0.78036","0.7664"
"0.7754","0.7698"
"0.77572","0.7686"
"0.76898","0.7588"
"0.76666","0.752"
"0.7613","0.7466"
"0.7569","0.7458"
"0.7515","0.7358"
"0.75008","0.736"
"0.74426","0.7344"
"0.74218","0.736"
"0.7353","0.7232"
"0.73148","0.7316"
"0.72636","0.7064"
"0.72176","0.711"
"0.71844","0.6988"
"0.71014","0.7084"
"0.70478","0.6944"
"0.70346","0.6918"
"0.69896","0.6794"
"0.69088","0.6734"
"0.68362","0.6804"
"0.68018","0.673"
"0.67746","0.653"
"0.66622","0.6702"
"0.66388","0.661"
"0.6595","0.6562"
"0.65432","0.6322"
"0.64624","0.628"
"0.64362","0.6336"
"0.63542","0.6288"
"0.63234","0.6422"
"0.62694","0.6122"
"0.62206","0.6088"
"0.61706","0.6282"
"0.6124","0.5976"
"0.61242","0.5814"
"0.59768","0.5818"
"0.59442","0.6044"
"0.5881","0.5638"
"0.58816","0.584"
"0.58116","0.5668"
"0.57788","0.5416"
"0.57654","0.5488"
"0.56632","0.5794"
"0.564","0.5434"
"0.5544","0.557"
"0.55712","0.5206"
"0.55078","0.5302"
"0.54676","0.5558"
"0.53984","0.551"
"0.53704","0.5408"
"0.5351","0.524"
"0.53064","0.5566"
"0.52788","0.5146"
"0.52782","0.5244"
"0.52332","0.545"
"0.52286","0.511"
"0.51398","0.5204"
"0.51706","0.4994"
"0.51364","0.5184"
"0.50892","0.4634"
"0.50198","0.4122"
"0.50672","0.5016"
"0.49988","0.4952"
"0.49584","0.5034"
"0.491","0.4998"
"0.49912","0.4842"
"0.4953","0.4422"
"0.48892","0.4708"
"0.49044","0.486"
"0.49158","0.4512"
"0.48276","0.476"
"0.47982","0.474"
"0.481","0.4888"
"0.4796","0.4806"
"0.4777","0.488"
"0.47714","0.4674"
"0.47574","0.4734"
"0.47604","0.4658"
"0.47104","0.4464"
"0.47824","0.467"
"0.47312","0.4372"
"0.47324","0.4548"
"0.46732","0.4598"
"0.47178","0.4546"
"0.46982","0.4882"
"0.47174","0.4566"
"0.46658","0.4778"
"0.4639","0.4798"
"0.46478","0.4596"
"0.46288","0.4664"
"0.4631","0.4254"
"0.46118","0.477"
"0.46392","0.4572"
"0.45984","0.4416"
"0.4587","0.4488"
"0.4585","0.4702"
"0.45532","0.4584"
"0.45566","0.4438"
"0.4555","0.4656"
"0.4601","0.4494"
"0.45414","0.4198"
"0.45626","0.4542"
"0.45394","0.4684"
"0.45212","0.4602"
"0.44784","0.4116"
"0.45584","0.4438"
"0.4539","0.4322"
"0.45056","0.4228"
"0.44904","0.4404"
"0.45444","0.4532"
"0.4506","0.4482"
"0.44882","0.4194"
"0.4463","0.3858"
"0.44512","0.4278"
"0.44624","0.4566"
"0.4497","0.4226"
"0.44646","0.4548"
"0.45062","0.4438"
"0.44478","0.444"
"0.44678","0.416"
"0.44832","0.4232"
"0.44468","0.4388"
"0.44746","0.439"
"0.44478","0.4362"
"0.44708","0.4448"
"0.4451","0.4524"
"0.44436","0.4452"
"0.44798","0.4332"
"0.44134","0.4292"
"0.44732","0.407"
"0.444","0.4418"
"0.43992","0.438"
"0.44232","0.4022"
"0.44464","0.4404"
"0.43724","0.4396"
"0.44362","0.436"
"0.44316","0.4468"
"0.43554","0.4212"
"0.44058","0.4334"
"0.43462","0.4396"
"0.43988","0.441"
"0.43426","0.4362"
"0.43448","0.4144"
"0.43552","0.4442"
"0.43504","0.412"
"0.4311","0.4228"
"0.43032","0.4272"
"0.43348","0.4352"
"0.42948","0.4146"
"0.42906","0.4482"
"0.42604","0.434"
"0.42914","0.4382"
"0.42484","0.421"
"0.42152","0.4026"
"0.42814","0.4088"
"0.427","0.4322"
"0.42258","0.4074"
"0.43112","0.4064"
"0.42046","0.409"
"0.42084","0.4286"
"0.4172","0.3974"
"0.41818","0.4322"
"0.41666","0.407"
"0.41798","0.4104"
"0.41334","0.4162"
"0.41318","0.4302"
"0.41442","0.4242"
"0.41136","0.4022"
"0.40564","0.4246"
"0.40478","0.3842"
"0.40612","0.407"
"0.39926","0.403"
"0.40544","0.4054"
"0.40086","0.3912"
"0.39544","0.406"
"0.39814","0.4058"
"0.39238","0.4106"
"0.39766","0.4214"
"0.39354","0.4052"
"0.39258","0.3992"
"0.39436","0.3702"
"0.38994","0.3966"
"0.39092","0.3648"
"0.38962","0.4094"
"0.38864","0.3916"
"0.38342","0.4012"
"0.3834","0.4072"
"0.37934","0.3852"
"0.3779","0.3914"
"0.3831","0.3484"
"0.37622","0.3678"
"0.37902","0.3406"
"0.3763","0.3796"
"0.37488","0.369"
"0.37424","0.3518"
"0.37104","0.372"
"0.3709","0.3548"
"0.36882","0.3406"
"0.36796","0.3402"
"0.36676","0.3872"
"0.36636","0.3702"
"0.36458","0.3566"
"0.3648","0.3238"
"0.36356","0.3596"
"0.36618","0.3892"
"0.36204","0.3318"
"0.36446","0.3834"
"0.36068","0.3398"
"0.3505","0.3602"
"0.35404","0.3128"
"0.35198","0.367"
"0.34878","0.3524"
"0.3571","0.3708"
"0.35466","0.3186"
"0.35122","0.3396"
